,매장이름,구,주소
513,여의도역점,영등포구,"서울 영등포구 의사당대로 108 (여의도동, 아일렉스)"
514,영등포knk점,영등포구,"서울 영등포구 영신로 220 (영등포동8가, KnK디지털타워)"
515,영등포그랜드점,영등포구,"서울 영등포구 양산로9길 15 (양평동3가, 그랜드타워)"
516,영등포시장점,영등포구,서울 영등포구 영등포로35길 19 (영등포동6가)
517,영등포아크로타워점,영등포구,"서울 영등포구 국회대로54길 10 (영등포동7가, 아크로타워 스퀘어)"
518,영등포에이스점,영등포구,서울 영등포구 경인로 775 (문래동3가)
519,영등포점,영등포구,서울 영등포구 영중로 16-1 (영등포동3가)
520,영등포코레일점,영등포구,"서울 영등포구 경인로 846 (영등포동, 영등포 민자역사)"
521,영등포홈플러스점,영등포구,"서울 영등포구 당산로 42 (문래동3가, 홈플러스)"
522,한강성심병원점,영등포구,서울 영등포구 버드나루로 51 (영등포동2가)
523,한국수출입은행점,영등포구,"서울 영등포구 은행로 38 (여의도동, 한국수출입은행빌딩)"
524,힐스테이트클래시안점,영등포구,"서울 영등포구 신길로28길 9 (신길동, 힐스테이트 클래시안)"
525,가재울중앙점,서대문구,"서울 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이)"
526,독립문통일로점,서대문구,서울 서대문구 영천동 
527,동교동점,서대문구,서울 서대문구 신촌로 5 (창천동)
528,명지대점,서대문구,서울 서대문구 거북골로 35 (남가좌동)
529,명지전문대점,서대문구,서울 서대문구 가좌로 140 (홍은동)
530,무악재역점,서대문구,서울 서대문구 홍제동 
531,북가좌동점,서대문구,서울 서대문구 증가로 257 (북가좌동)
532,서대문구청점,서대문구,서울 서대문구 연희로 237 (연희동)
533,서대문점,서대문구,서울 서대문구 냉천동
534,신촌기차역점,서대문구,서울 서대문구 신촌역로 35 (창천동)
535,신촌역점,서대문구,서울 서대문구 신촌로 87-20 (창천동)
536,아현역점,서대문구,"서울 서대문구 신촌로37길 10 (북아현동, 아현 메디컬)"
537,연남동점,서대문구,서울 서대문구 연희로 42 (연희동)
538,연대서문점,서대문구,서울 서대문구 연희로10길 86 (연희동)
539,연세대점,서대문구,서울 서대문구 연세로12길 10 (창천동)
540,연세의료원ABMRC점,서대문구,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)"
541,연세의료원제중관점,서대문구,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)"
542,연세의료원종합관점,서대문구,"서울 서대문구 연세로 50-1 (신촌동, 세브란스병원)"
543,연희삼거리점,서대문구,서울 서대문구 연희로 117 (연희동)
544,연희홍연길점,서대문구,서울 서대문구 홍제천로 146-9 (연희동)
545,충정로3가점,서대문구,"서울 서대문구 경기대로 26-26 (충정로3가, 더스타일하우스디센트럴)"
546,홍은사거리점,서대문구,"서울 서대문구 통일로 510 (홍은동, 북한산 더샵)"
547,홍제역점,서대문구,서울 서대문구 홍제동
548,고대개운점,성북구,서울 성북구 개운사길 30 (안암동5가)
549,고대점,성북구,서울 성북구 고려대로24길 35 (안암동5가)
550,국민대점,성북구,서울 성북구 정릉로9라길 8 (정릉동)
551,길음뉴타운점,성북구,"서울 성북구 길음로 74 (길음동, 길음 에스에이치빌)"
552,길음중앙점,성북구,"서울 성북구 도봉로 11 (길음동, 삼주빌딩)"
553,돈암동점,성북구,서울 성북구 동소문로 119 (동선동4가)
554,돈암아리랑점,성북구,"서울 성북구 아리랑로 75 (돈암동, 돈암코오롱하늘채)"
555,돌곶이역점,성북구,서울 성북구 돌곶이로22길 3 (석관동)
556,동덕여대점,성북구,서울 성북구 화랑로 99 (하월곡동)
557,동소문동점,성북구,서울 성북구 동소문로13길 5 (동소문동4가)
558,보문역점,성북구,서울 성북구 보문로 111 (보문동2가)
559,석계중앙점,성북구,서울 성북구 화랑로40길 61 (석관동)
560,석관동점,성북구,"서울 성북구 돌곶이로8길 22 (석관동, 래미안아트리치)"
561,성신여대역점,성북구,서울 성북구 동소문로17길 40 (동소문동6가)
562,성신여대점,성북구,서울 성북구 보문로34길 100 (동선동2가)
563,안암래미안점,성북구,서울 성북구 보문로30가길 42 (안암동1가)
564,월곡1동점,성북구,서울 성북구 오패산로 99 (하월곡동)
565,월곡동아점,성북구,서울 성북구 장월로1길 47 (상월곡동)
566,장위2동점,성북구,서울 성북구 화랑로25길 14 (장위동)
567,장위뉴타운점,성북구,서울 성북구 장월로 144-1 (장위동)
568,장위동점,성북구,서울 성북구 월계로40길 7 (장위동)
569,장위북서울꿈의숲점,성북구,서울 성북구 돌곶이로41가길 2 (장위동)
570,장위중앙점,성북구,서울 성북구 장위로 35 (장위동)
571,정릉뉴타운점,성북구,"서울 성북구 정릉로 307 (정릉동, 라온유 아파트)"
572,정릉아리랑점,성북구,"서울 성북구 북악산로 851 (정릉동, 정릉2차 e-편한세상)"
573,정릉점,성북구,서울 성북구 보국문로 77 (정릉동)
574,정릉중앙점,성북구,서울 성북구 정릉로 251 (정릉동)
575,종암동점,성북구,서울 성북구 종암로 105 (종암동)
576,하월곡동점,성북구,서울 성북구 오패산로 16 (하월곡동)
577,한성대점,성북구,서울 성북구 삼선교로 10 (삼선동1가)
578,4.19사거리점,강북구,서울 강북구 삼양로 501 (수유동)
579,가오리역점,강북구,서울 강북구 삼각산로 108 (수유동)
580,강북경찰서점,강북구,서울 강북구 오패산로 403 (번동)
581,미아꿈의숲해링턴점,강북구,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)"
582,미아역점,강북구,서울 강북구 도봉로 207 -3(미아동)
583,미아중앙점,강북구,서울 강북구 도봉로 128 (미아동)
584,번동점,강북구,"서울 강북구 오현로 194 (번동, 덕수빌딩)"
585,북한산점,강북구,서울 강북구 4.19로 85 (수유동)
586,삼각산점,강북구,서울 강북구 솔샘로40길 3 (미아동)
587,삼양사거리점,강북구,"서울 강북구 솔샘로 254 (미아동, 삼양아케이트)"
588,삼양시장점,강북구,"서울 강북구 삼양로 234 (미아동, 대건빌딩)"
589,수유1동점,강북구,서울 강북구 삼양로 293 (수유동)
590,수유사거리점,강북구,"서울 강북구 덕릉로 82 (수유동, 제네스타워)"
591,수유역점,강북구,서울 강북구 도봉로 355 (수유동)
592,우이역도선사점,강북구,서울 강북구 삼양로173길 21 (우이동)
593,한신대점,강북구,서울 강북구 덕릉로 31 (수유동)
594,IBK본점,중구,"서울 중구 을지로 79 (을지로2가, 기업은행)"
595,YTN점,중구,서울 중구 세종대로1길 11 (봉래동1가)
596,광희동점,중구,서울 중구 마른내로 165-1 (광희동1가)
597,다동점,중구,서울 중구 다동길 46 (다동)
598,동국대후문점,중구,"서울 중구 창경궁로 2 (충무로5가, 남경빌딩)"
599,동대문점,중구,서울 중구 을지로43길 38 (을지로6가)
600,동대문팀204점,중구,"서울 중구 마장로 30 (신당동, Team204)"
601,동평화점,중구,서울 중구 청계천로 318 (신당동)
602,만리동고개점,중구,"서울 중구 만리재로 175 (만리동2가, 서울역센트럴자이),402동 102호"
603,명동거리점,중구,"서울 중구 명동8가길 7 (충무로2가, 프리엠상가)"
604,명동역점,중구,서울 중구 퇴계로 103 (충무로1가)
605,명동중앙점,중구,"서울 중구 명동7길 21 (을지로2가, 명동아르누보센텀)"
606,북창동점,중구,서울 중구 남대문로1길 57-1 (태평로2가)
607,서소문점,중구,서울 중구 서소문로11길 8 (서소문동)
608,서울시청점,중구,"서울 중구 세종대로20길 23 (무교동, 원창빌딩)"
609,신당점,중구,서울 중구 다산로35길 11 (신당동)
610,신당중앙점,중구,서울 중구 퇴계로 455 (황학동)
611,약수역점,중구,서울 중구 동호로 186-13 (신당동)
612,오장동점,중구,서울 중구 마른내로 109-1 (오장동)
613,을지로3가점,중구,서울 중구 수표로 45 (저동2가)
614,을지로중앙점,중구,서울 중구 마른내로 49 (인현동1가)
615,정동점,중구,서울 중구 정동길 2-1 (정동)
616,중림브라운스톤점,중구,"서울 중구 청파로 464 (중림동, 브라운스톤서울)"
617,중림점,중구,서울 중구 청파로 464 (중림동)
618,충무로3가점,중구,서울 중구 퇴계로27길 31 (충무로3가)
619,충무로점,중구,서울 중구 퇴계로 188 (필동1가)
620,충무아트홀점,중구,서울 중구 퇴계로 381-1 (신당동)
621,충무필동점,중구,서울 중구 퇴계로 218-5 (필동2가)
622,충정로역점,중구,"서울 중구 중림로 10 (중림동, 중림동 삼성 사이버 빌리지)"
623,태평로점,중구,서울 중구 세종대로11길 26 (서소문동)
624,퇴계로2길점,중구,서울 중구 퇴계로2길 1 (남창동)
625,한국은행점,중구,서울 중구 남대문로 29-2 (남대문로3가)
626,황학롯데캐슬점,중구,"서울 중구 청계천로 400 (황학동, 롯데캐슬베네치아)"
627,회현SK리더스점,중구,"서울 중구 퇴계로 72 (회현동1가, 리더스뷰남산)"
628,개봉북부점,구로구,서울 구로구 경인로40길 12 (개봉동)
629,개봉역점,구로구,서울 구로구 남부순환로97길 11 (개봉동)
630,개봉현대점,구로구,서울 구로구 개봉로 69 (개봉동)
631,고대구로병원점,구로구,서울 구로구 구로동로 157 (구로동)
632,고척사거리점,구로구,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)"
633,고척스카이돔점,구로구,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)"
634,구로NC점,구로구,서울 구로구 구로동로 240 (구로동)
635,구로고척점,구로구,"서울 구로구 고척로 149 (고척동, 상암빌딩)"
636,구로구청점,구로구,"서울 구로구 가마산로25길 9 (구로동, 네오팰리스)"
637,구로궁동점,구로구,서울 구로구 오리로 1304 (궁동) 1층
638,구로미성점,구로구,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)"
639,구로역광장점,구로구,"서울 구로구 경인로 572 (구로동, 스타팰리스)"
640,구로이마트점,구로구,서울 구로구 디지털로32길 43 (구로동)
641,구로중앙점,구로구,서울 구로구 도림로 79 (구로동)
642,구로코레일점,구로구,"서울 구로구 구로중앙로 174 (구로동, 구로역)"
643,구로하버라인점,구로구,"서울 구로구 항동로3길 6 (항동, 가온 프라자)"
644,구일역점,구로구,"서울 구로구 구일로 110 (구로동, 해원리버파크)"
645,남구로역점,구로구,서울 구로구 디지털로27길 127 (가리봉동)
646,동양미래대학점,구로구,서울 구로구 경인로47길 14 (고척동)
647,메르디앙고척점,구로구,"서울 구로구 중앙로8길 11 (고척동, 고척 월드메르디앙)"
648,성공회대점,구로구,서울 구로구 연동로 312 (항동)
649,신도림메르디앙점,구로구,"서울 구로구 신도림로 65 (신도림동, 신도림월드메르디앙오피스텔)"
650,신도림테크노마트점,구로구,서울 구로구 새말로 97 (구로동)
651,오류남부점,구로구,서울 구로구 오류로8길 65 (오류동)
652,오류북부역점,구로구,서울 구로구 경인로20길 6 (오류동)
653,천왕이펜하우스점,구로구,서울 구로구 천왕로 36 (천왕동)
654,덕성여대점,도봉구,서울 도봉구 삼양로 542 (쌍문동)
655,도봉구청점,도봉구,"서울 도봉구 도봉로150길 43 (방학동, ESA 아파트)"
656,도봉보건소사거리점,도봉구,서울 도봉구 해등로 157 (쌍문동)
657,도봉산점,도봉구,서울 도봉구 도봉산길 18 (도봉동)
658,도봉역점,도봉구,서울 도봉구 도봉로 823 (도봉동)
659,도봉중앙점,도봉구,서울 도봉구 도봉로181길 18 (도봉동)
660,방학사거리점,도봉구,서울 도봉구 도봉로 677 (방학동)
661,방학역점,도봉구,서울 도봉구 도봉로153길 15 (방학동)
662,방학점,도봉구,서울 도봉구 방학로 171 (방학동)
663,방학중앙점,도봉구,서울 도봉구 도당로13길 22 (방학동)
664,선덕고사거리점,도봉구,"서울 도봉구 해등로 255 (쌍문동, 에벤에셀아파트)"
665,솔밭공원역점,도봉구,"서울 도봉구 삼양로 594 (쌍문동, 주함해븐빌)"
666,신창점,도봉구,서울 도봉구 덕릉로 235 (창동)
667,쌍문동점,도봉구,서울 도봉구 노해로 162 (쌍문동)
668,쌍문역점,도봉구,서울 도봉구 도봉로117길 4 (쌍문동)
669,창동대우점,도봉구,서울 도봉구 덕릉로63가길 30 (창동)
670,창동블루핀점,도봉구,서울 도봉구 마들로 550 (창동)
671,창동역점,도봉구,서울 도봉구 마들로11길 65 (창동)
672,창동제일점,도봉구,서울 도봉구 노해로70길 81 (창동)
673,창동중앙점,도봉구,서울 도봉구 노해로63길 78 (창동)
674,창동하나로마트점,도봉구,"서울 도봉구 마들로11길 20 (창동, 농협창동유통센타)"
675,창동학원가점,도봉구,서울 도봉구 해등로16길 61 (창동)
676,창동현대타운점,도봉구,서울 도봉구 도봉로114길 22 (창동)
677,남성역점,동작구,서울 동작구 사당로17가길 13 (사당동)
678,노들점,동작구,서울 동작구 노량진로 200 (노량진동)
679,노량진CTS점,동작구,서울 동작구 노량진로 110 (노량진동)
680,노량진드림스퀘어점,동작구,"서울 동작구 노들로2길 7 (노량진동, 노량진 드림스퀘어 복합빌딩)"
681,노량진역사점,동작구,"서울 동작구 노량진로 지하 130 (노량진동, 9호선 노량진역)"
682,대림성모점,동작구,서울 동작구 시흥대로 658 (신대방동)
683,대방역점,동작구,"서울 동작구 노량진로 24 (대방동, 한신빌딩)"
684,보라매공원점,동작구,서울 동작구 여의대방로 90 (신대방동)
685,보라매점,동작구,"서울 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)"
686,사당역점,동작구,서울 동작구 동작대로7길 100 (사당동)
687,사당점,동작구,서울 동작구 동작대로 45 (사당동)
688,상도역점,동작구,서울 동작구 상도로 277 (상도1동)
689,상도중앙점,동작구,서울 동작구 만양로 17 (상도동)
690,상도파크엘점,동작구,"서울 동작구 양녕로 220 (상도동, 상도역 롯데캐슬 파크엘)"
691,숭실대점,동작구,서울 동작구 사당로 2 (상도동)
692,신대방삼거리점,동작구,서울 동작구 상도로 78 (대방동)
693,신상도초교점,동작구,서울 동작구 양녕로 183 (상도동)
694,이수중앙점,동작구,서울 동작구 사당로 285 (사당동)
695,중앙대점,동작구,서울 동작구 흑석로 79 (흑석동)
696,중앙대후문점,동작구,서울 동작구 흑석로 20 (상도동)
697,총신대입구역점,동작구,서울 동작구 동작대로 119-1 (사당동)
698,총신대점,동작구,"서울 동작구 사당로16가길 96 (사당동) 1,2층"
699,해군회관점,동작구,서울 동작구 여의대방로 194 (대방동)
700,흑석역점,동작구,서울 동작구 현충로 100-1 (흑석동)
